step_1,step_2,step_3,step_4,step_5,predict_1
<SOS>,O_CREATED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_CANCELLED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_ACCEPTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_REGISTERED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_PREACCEPTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_PARTLYSUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_FINALIZED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_DECLINED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_CANCELLED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
